"","Country","Population","Area","Net.migration","GDP","Phones","Surf_Arable","Surf_Crops","Surf_Other","Climate","Birthrate","Deathrate","Sec_Agriculture","Sec_Industry","Sec_Service"
"1","Australia ",20264082,7686850,"3,98",29000,"565,5","6,55","0,04","93,41","1","12,14","7,51","0,038","0,262","0,7"
"2","Austria ",8192880,83870,"2",30000,"452,2","16,91","0,86","82,23","3","8,74","9,76","0,018","0,304","0,678"
"3","Belgium ",10379067,30528,"1,23",29100,"462,6","23,28","0,4","76,32","3","10,38","10,27","0,01","0,24","0,749"
"4","Canada ",33098932,9984670,"5,96",29800,"552,2","4,96","0,02","95,02","","10,78","7,8","0,022","0,294","0,684"
"5","Denmark ",5450661,43094,"2,48",31100,"614,6","54,02","0,19","45,79","3","11,13","10,36","0,018","0,246","0,735"
"6","Finland ",5231372,338145,"0,95",27400,"405,3","7,19","0,03","92,78","3","10,45","9,86","0,028","0,295","0,676"
"7","France ",60876136,547030,"0,66",27600,"586,4","33,53","2,07","64,4","4","11,99","9,14","0,022","0,214","0,764"
"8","Germany ",82422299,357021,"2,18",27600,"667,9","33,85","0,59","65,56","3","8,25","10,62","0,009","0,296","0,695"
"9","Hong Kong ",6940432,1092,"5,24",28800,"546,7","5,05","1,01","93,94","2","7,29","6,29","0,001","0,092","0,906"
"10","Iceland ",299388,103000,"2,38",30900,"647,7","0,07","0","99,93","3","13,64","6,72","0,086","0,15","0,765"
"11","Ireland ",4062235,70280,"4,99",29600,"500,5","15,2","0,03","84,77","3","14,45","7,82","0,05","0,46","0,49"
"12","Italy ",58133509,301230,"2,07",26700,"430,9","27,79","9,53","62,68","","8,72","10,4","0,021","0,291","0,688"
"13","Japan ",127463611,377835,"0",28200,"461,2","12,19","0,96","86,85","3","9,37","9,16","0,017","0,258","0,725"
"14","Luxembourg ",474413,2586,"8,97",55100,"515,4","23,28","0,4","76,32","","11,94","8,41","0,01","0,13","0,86"
"15","Netherlands ",16491461,41526,"2,91",28600,"460,8","26,71","0,97","72,32","3","10,9","8,68","0,021","0,244","0,736"
"16","New Zealand ",4076140,268680,"4,05",21600,"441,7","5,6","6,99","87,41","3","13,76","7,53","0,043","0,273","0,684"
"17","Norway ",4610820,323802,"1,74",37800,"461,7","2,87","0","97,13","3","11,46","9,4","0,021","0,415","0,564"
"18","Qatar ",885359,11437,"16,29",21500,"232,0","1,64","0,27","98,09","1","15,56","4,72","0,002","0,801","0,197"
"19","Spain ",40397842,504782,"0,99",22000,"453,5","26,07","9,87","64,06","3","10,06","9,72","0,04","0,295","0,665"
"20","Sweden ",9016596,449964,"1,67",26800,"715,0","6,54","0,01","93,45","3","10,27","10,31","0,011","0,282","0,707"
"21","Switzerland ",7523934,41290,"4,05",32700,"680,9","10,42","0,61","88,97","3","9,71","8,49","0,015","0,34","0,645"
"22","Taiwan ",23036087,35980,"0",23400,"591,0","24","1","75","2","12,56","6,48","0,018","0,259","0,723"
"23","United Arab Emirates ",2602713,82880,"1,03",23200,"475,3","0,6","2,25","97,15","1","18,96","4,4","0,04","0,585","0,375"
"24","United Kingdom ",60609153,244820,"2,19",27700,"543,5","23,46","0,21","76,33","3","10,71","10,13","0,005","0,237","0,758"
"25","United States ",298444215,9631420,"3,41",37800,"898,0","19,13","0,22","80,65","3","14,14","8,26","0,01","0,204","0,787"
